No.,Clause,Label,Standard_Body,Standard_No,Clause_No,Year,Page,Justification
27,"""e) Loss or damage to water filter outside building (within the compound) other than by fire or lightning""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Defining the exact perimeter and geographical limit of covered properties is compliant because it effectively removes ambiguity (Gharar).
28,"""You may extend coverage to the following risks by paying additional contribution...""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.1,2013,12,"Offering optional endorsements for extra contribution is compliant, provided that the new premium goes directly into the mutual Tabarru' fund."
29,"""Subsidence and landslip - 0.081% x Sum Covered/Plan Selected""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.3,2013,15,Utilizing fixed percentage rates based on the total sum covered is compliant because it ensures mathematical clarity and fair underwriting pricing.
30,"""Riot, strike and malicious damage (RSMD) - 0.010% x Sum Covered/Plan Selected""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.3,2013,15,"This explicit pricing formula is compliant since it allows the consumer to know the exact monetary obligation beforehand, eliminating Jahl."
31,"""Duration of cover is for one (1) year. You need to renew your certificate annually.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Setting a definitive annual duration for the certificate is compliant as Shariah requires time-bound clarity in non-perpetual financial contracts.
32,"""The benefit(s) payable under eligible product is protected by Perbadanan Insurans Deposit Malaysia (PIDM) up to limits.""",1,IFSA,Islamic Financial Services Act 2013,Section 226,2013,201,"Relying on a national statutory protection framework is compliant because it protects consumer wealth, which fulfills the Maqasid Shariah."
33,"""Contribution Plan for Individual / Corporate Participant (Table of Fixed Sums Covered vs Annual Contribution)""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),3/3,2015,641,The publication of a fixed contribution matrix is compliant as it offers transparency and prevents arbitrary pricing adjustments by the firm.
34,"""**The annual contribution as stated in the above table is inclusive of Service Tax and Stamp Duty.""",1,IFSA,Islamic Financial Services Act 2013,Section 141,2013,145,Clearly disclosing the inclusion of statutory taxes within the overall premium is compliant to avoid unexpected financial disputes.
35,"""Wakalah Fee: 50% of contribution of which: Commission: 15%, Other expenses: 35%""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/1/2001,2015,645,Highly Compliant. Full upfront breakdown of the agency fee percentage is strictly compliant with Shariah rules against hidden fees.
36,"""Service Tax: 8% of the contribution paid""",1,IFSA,Islamic Financial Services Act 2013,Section 141,2013,145,Charging a standard government-mandated service tax is compliant since financial institutions must abide by the laws of their operating state.
37,"""Pursuant to Paragraph 5 of Schedule 9 of the Islamic Financial Services Act 2013... duty to take reasonable care not to make a misrepresentation...""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 5",2013,248,Enforcing a strict duty of disclosure is compliant with the fundamental Islamic ethical values of honesty (Siddiq) and trustworthiness (Amanah).
38,"""Failure to take reasonable care in answering the questions may result in avoidance of your contract of Takaful, refusal or reduction of your claim(s)...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Reserving the right to void contracts based on participant misrepresentation is compliant to prevent fraud (Tadlis) against the common fund.
39,"""Non-Consumer Takaful Contract: Pursuant to Paragraph 4(1) of Schedule 9 of the Islamic Financial Services Act 2013...""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 4",2013,247,Segregating consumer contracts from non-consumer contracts is compliant as commercial risks require a different level of standard disclosure.
40,"""Market value basis - we will pay the full cost of repairing the damaged property less the amount for wear, tear and depreciation.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,Factoring in market depreciation during claim settlements is compliant because it prevents the participant from unjust enrichment (Riba).
41,"""Replacement value basis - we will reinstate, repair or replace... without any deductions being made for wear, tear or depreciation...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,Offering a reinstatement basis without depreciation is compliant as long as it is mutually agreed upon during the contract inception (Taradhi).
42,"""Under coverage - you must ensure that the sum covered is adequate, otherwise, average condition will apply...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,The application of the average condition is compliant because it ensures equity between the lower premium paid and the actual risk exposed.
43,"""Excess is the first amount of loss that you have to bear in the event of a claim.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.2.3,2013,20,Incorporating deductibles or excesses is compliant as an effective risk management tool used to minimize moral hazards among pool members.
44,"""Major Exclusions: War, invasion, act of foreign enemy, hostilities or any act of terrorism.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.2,2013,14,Omitting mega-catastrophic geopolitical events is compliant because protecting the liquidity of the public fund from collapse is critical.
45,"""Exclusion: Beer, liquor, pictures of animals or things used for religious purpose such as idols.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3/2002,2015,644,Highly Compliant. Explicitly excluding Shariah-prohibited materials ensures that the pool fund does not facilitate or validate unIslamic elements.
46,"""Any other events prohibited by Shariah principles""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),1/2,2015,639,This structural catch-all clause is compliant as it reinforces the supremacy of Shariah law across all unseen developments of the fund.
47,"""Can I cancel my certificate? You may cancel... entitled to a partial refund of the contribution provided you have not made any claim.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Allowing a pro-rata premium refund upon early cancellation is compliant because it prevents the operator from retaining unearned money unjustly.
48,"""Syarikat Takaful Malaysia Am Berhad... is licensed under the Islamic Financial Services Act 2013 and regulated by Bank Negara Malaysia.""",1,IFSA,Islamic Financial Services Act 2013,Section 8,2013,15,Formal institutional licensing under an Islamic regulatory framework is compliant and essential to establish legal trust (Sultah).
49,"""The Nominee may receive the Benefit payable under this product if the Nominee is a beneficiary under conditional Hibah.""",0,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),6/1,2015,651,"Non-Compliant (AAOIFI Baseline): Under global AAOIFI standards, a nominee must strictly act as a trustee/estate executor to distribute funds via Faraid, not as an absolute individual owner."
50,"""Stamp duty is exempted... until 31/12/2025. Thereafter, RM10 stamp duty shall be payable starting from 1/1/2026 regardless of the annual contribution amount.""",1,IFSA,Islamic Financial Services Act 2013,Section 141,2013,145,Notifying the definitive end date of a tax exemption and the future implementation of charges is compliant to protect transparency.
51,"""The investment of Takaful funds meant for house protection must be made in channels that do not contradict Shariah rules.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),7/1,2015,653,The allocation of accumulated household Takaful contributions into interest-free and halal assets is mandatory to maintain total fund purity.
52,"""It is prohibited for the Takaful operator to trade or invest the home participant's premium in conventional bonds or usurious equities.""",0,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),7/2,2015,654,Non-Compliant Baseline: Any exposure of home asset funds to interest-bearing instruments (Riba) completely voids the spiritual and legal validity of the Takaful contract.
53,"""The home contents policy shall explicitly define the method of calculating the operator's share in the investment profits of the reserve fund.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/2/1,2015,647,Specifying the exact profit-sharing ratio for house fund investments prevents conflict and eliminates structural ambiguity between parties.
54,"""The institution must ensure that the property being financed or covered under a Takaful scheme is free from severe structural defects at inception.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.5,2013,16,Conducting pre-underwriting physical evaluation on properties is compliant as it avoids entering into a contract involving high elements of avoidable risk.
55,"""An institution shall establish a clear framework for managing the concentration of risks in its property financing and housing Takaful portfolios.""",1,IFSB,IFSB-14 (Risk Management for Takaful),4.2.1,2013,28,Monitoring geographical risk concentration prevents the collective housing fund from suffering catastrophic insolvency during localized disasters.
56,"""The Takaful operator shall not charge any additional premium or loading on home policies after the certificate is issued without explicit new mutual consent.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Arbitrarily increasing contribution rates midway through a housing contract is prohibited because it violates the principle of mutual contractual consent.
57,"""Where a property Takaful certificate is terminated by the operator, the participant is entitled to receive the unearned contribution back fully.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5/2,2015,645,Returning the unused portion of the home contribution upon operator termination is compliant as holding onto unearned public funds is financial injustice.
58,"""The Takaful operator must establish separate accounts for the home participants' fund and the shareholders' fund to prevent commingling.""",1,IFSA,Islamic Financial Services Act 2013,Section 90,2013,108,Keeping operational capital separated from the home participants' risk pool is a fundamental prerequisite to prevent operational conflict of interest.
59,"""Any financial deficit in the housing risk fund must be immediately rectified using a Qard Hasan advanced by the shareholder entity.""",1,IFSA,Islamic Financial Services Act 2013,Section 95,2013,112,Obligating the parent company to extend a benevolent loan ensures that ongoing household claims are paid without disrupting community welfare.
60,"""The participant must have an insurable interest or a legitimate Shariah-recognized relationship with the house being covered under the certificate.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1/1,2015,642,Requiring direct ownership or financial attachment to the insured house is compliant because it prevents the policy from turning into a gambling instrument.
61,"""Takaful benefits for property damage shall be paid out to the person who holds the legal right of ownership or custody over the damaged home assets.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),6/2,2015,652,Disbursing claims exclusively to the lawful property owner or custodian prevents illegal misappropriation of community relief funds.
62,"""The contract may allow for the automated renewal of the property certificate using standing instructions, provided the terms remain identical.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Automated annual renewals for housing certificates are compliant as long as the pricing and asset conditions remain fully transparent to the consumer.
63,"""The home contribution rate shall be calculated using robust actuarial methodologies that accurately reflect the historical loss probability of the dwelling.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.3,2013,15,"Relying on sound actuarial science for housing risks ensures fair pricing, preventing the exploitation of either the participant or the pool."
64,"""If a home is destroyed completely, the maximum liability of the fund is capped strictly at the total sum covered agreed upon at contract inception.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,Capping the maximum financial payout at the pre-agreed sum covered is compliant because it removes open-ended operational liabilities from the fund.
65,"""The operational expenses charged by the operator to the housing Takaful fund must be realistic, actual, and directly related to fund management.""",1,IFSA,Islamic Financial Services Act 2013,Section 93,2013,110,Ensuring that management expenses deducted from the public housing pool are justifiable prevents the wrongful depletion of charity-based funds.
66,"""A non-Muslim consumer can legally participate in the housing Takaful scheme as a member of the mutual protection pool.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),3/1,2015,640,Allowing non-Muslims to join the house risk pool is compliant since mutual commercial protection contracts are open to all segments of society in Shariah.
67,"""The operator shall establish a Shariah Committee to oversee all operational rules, marketing materials, and investment assets of the home product.""",1,IFSA,Islamic Financial Services Act 2013,Section 30,2013,34,Maintaining independent Shariah oversight over the housing product line is a statutory and religious mandate to guarantee continuous compliance.
68,"""The house contents covered under this policy must not be utilized for carrying out commercial activities that violate Shariah principles.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3/2,2015,644,Restricting coverage to non-violating properties is compliant as Shariah strictly prohibits facilitating or protecting active avenues of sin.
69,"""In the event that a third party causes damage to the participant's house, the Takaful fund reserves the right of subrogation to recover the loss.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6/3,2015,645,"Exercising the right of subrogation is compliant because it ensures the wrongdoer bears the financial consequence, saving the public fund from loss."
70,"""The operator is permitted to purchase retakaful protection for the collective housing fund to shield it against mega-scale natural disasters.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.4.1,2013,22,Outward retakaful allocation is compliant as a secondary risk-mitigation tool necessary to preserve the financial solvency of the domestic house fund.
71,"""If an Islamic retakaful company is completely unavailable in the region, the operator may use conventional reinsurance for the housing portfolio under necessity.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),8/2,2015,655,Utilizing conventional reinsurance during extreme local shortages is compliant under the Shariah doctrine of overriding operational necessity (Darurah).
72,"""The calculation of any distributable surplus from the house fund must exclude any unpaid pending claims or unresolved litigation liabilities.""",1,IFSB,IFSB-14 (Risk Management for Takaful),5.1.2,2013,33,Restricting surplus distribution until all active home claims are fully quantified is compliant to safeguard the immediate liquidity of the pool.
73,"""The contract terms for house protection must be written in a manner that is simple, clear, and easily understandable by an ordinary consumer.""",1,IFSA,Islamic Financial Services Act 2013,Section 142,2013,146,Enforcing clarity in consumer language for property insurance is compliant because it prevents hidden trap clauses and structural operational deceit.
74,"""The participant's ownership of the contribution paid into the housing fund is relinquished permanently for charity purpose upon signing.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),3/2,2015,641,Irrevocably surrendering the premium to the common pool is compliant because it legally solidifies the conversion of money from commercial to charitable status.
75,"""The home contents Takaful certificate shall automatically terminate upon the total physical destruction of the subject property by an unlisted event.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Terminating the contract upon total destruction of the underlying asset is compliant as the direct subject matter of the contract has ceased to exist.
76,"""The operator can deduct an upfront management fee from the home contribution, provided that the exact fixed fee is disclosed explicitly to the client.""",1,AAOIFI,Shariah Standard No. 23 (Agency),4/1/1,2015,566,"Charging an agent fee is compliant as long as there is total transparency regarding the quantum, eliminating any element of unknown cost (Jahl)."
77,"""Any dispute arising from the interpretation of the property coverage clauses shall be referred to an independent financial ombudsman scheme.""",1,IFSA,Islamic Financial Services Act 2013,Section 136,2013,139,Providing a structured mediation avenue for property insurance conflicts is compliant to achieve fast judicial justice without protracted delay.
78,"""A participant who deliberately sets fire to their own house shall be barred from receiving any compensation or benefit from the Takaful fund.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,Denying claims caused by intentional self-sabotage is compliant to protect the public fund from malicious exploitation and criminal enrichment.
79,"""The home certificate allows for temporary coverage while the property is undergoing minor renovations or localized structural enhancements.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,Maintaining risk continuity during property maintenance is compliant as it supports the normal operational preservation of private property assets.
80,"""The operator may delay the payout of a property claim indefinitely if they suspect fraud, without providing any written justification or timeline.""",0,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 6",2013,249,Non-Compliant Baseline: Delaying legitimate home claim payouts without transparency or formal notification violates the consumer protection mandates of financial fairness.
81,"""The valuation of household items for coverage purposes can be determined based on sentimental value rather than actual market cost.""",0,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,"Non-Compliant Baseline: Relying on subjective sentimental values introduces excessive uncertainty (Gharar), making claim settlements impossible to quantify fairly."
82,"""All premium payments for the house policy must be processed through clean banking channels that are completely free from money laundering activities.""",1,IFSA,Islamic Financial Services Act 2013,Section 41,2013,49,Rejecting illicit money for property insurance is compliant with the broader Shariah objective of rejecting and cleaning out corrupted wealth.
83,"""The operator shall provide an annual detailed statement to the home participant showing the performance, expenses, and claims of the risk pool.""",1,IFSB,IFSB-14 (Risk Management for Takaful),5.2.1,2013,36,Providing annual transparency reports for the property fund builds stakeholder confidence and satisfies the core Islamic rule of market information.
84,"""If a participant fails to pay their annual property contribution on time, the operator can impose a compounding interest charge on the balance.""",0,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/3,2015,484,"Non-Compliant Baseline: Charging compounding interest on outstanding premium amounts is a clear form of Riba, which is strictly forbidden in Shariah."
85,"""The house policy includes protection for legal costs incurred by the participant when defending a third-party liability suit inside the home compound.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/4,2015,644,Covering defense costs associated with domestic accidents is compliant as it represents an actual financial consequence stemming from a covered peril.
86,"""The operator can alter the profit-sharing ratio of the housing investment fund unilaterally without notifying the active certificate holders.""",0,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/2/2,2015,647,Non-Compliant Baseline: Unilaterally modifying financial distribution ratios mid-contract breaches the binding contractual terms agreed upon by both parties.
87,"""The Takaful protection applies strictly to physical property structures that are built on legally acquired and recognized land plots.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 2",2013,245,Restricting coverage to legally established real estate is compliant as Shariah cannot recognize or defend properties built on usurped land (Ghasb).
88,"""The home contract shall clearly state that any surplus arising from the fund belongs collectively to the participants, not to the operator's capital.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/3/1,2015,648,Declaring the participants as the ultimate rightful collective owners of the residual fund surplus is a fundamental pillar of authentic Takaful.
89,"""The operator can use the home participants' Tabarru' funds to pay off the corporate tax liabilities of the operator's management company.""",0,IFSA,Islamic Financial Services Act 2013,Section 91,2013,109,Non-Compliant Baseline: Diverting charitable consumer risk funds to settle corporate shareholder liabilities is a severe breach of fiduciary duty and trust.
90,"""A temporary grace period of thirty days is granted for home premium payments, during which the protection remains fully active.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,Offering a reasonable payment grace period for residential properties is compliant as it reflects Islamic tolerance and facilitates easier commerce.
91,"""The property policy explicitly excludes any coverage for loss or damage resulting from the natural radioactive decay of nuclear materials.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.2,2013,14,"Omitting unmanageable, uninsurable high-tech nuclear hazards is compliant as it protects the collective pool from instantaneous financial collapse."
92,"""The operator can cancel a participant's home coverage instantly at any time without giving any advance notice or valid operational reason.""",0,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/5,2015,644,"Non-Compliant Baseline: Abruptly ending a property contract without prior warning introduces severe harm (Dharar) to the consumer, which is forbidden."
93,"""The home contents coverage applies to items temporarily removed from the premises for repair, up to a specific capped percentage value.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,Extending off-site coverage for household items under repair is compliant as it matches standard practical consumer needs without causing extra ambiguity.
94,"""The calculation of property depreciation must follow standardized financial accounting methods approved by the Shariah board.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/6,2015,644,"Using structured, approved accounting methods for home asset depreciation ensures equity and removes personal bias during claims."
95,"""In the event of the participant's death, the home policy rights are transferred to the lawful estate executors or heirs under Islamic law.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 5",2013,248,Transferring contract continuity or benefit rights to lawful estate heirs complies with the overarching framework of Islamic inheritance law.
96,"""The operator is permitted to invest the home fund reserves in short-term Islamic liquidity instruments like commodity murabahah.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),7/1,2015,653,"Utilizing approved short-term Islamic money market instruments is compliant to generate safe, halal yields for the house fund."
97,"""The property policy conditions shall be nullified if the participant changes their religion or personal spiritual beliefs midway through the term.""",0,IFSA,Islamic Financial Services Act 2013,Section 143,2013,147,Non-Compliant Baseline: Voiding a valid commercial financial property contract based solely on personal religious changes violates civil and financial contractual justice.
98,"""The operator must conduct regular internal Shariah audits specifically on the property claims department to verify payout compliance.""",1,IFSA,Islamic Financial Services Act 2013,Section 31,2013,35,Running regular internal Shariah compliance audits ensures that operational adjustments remain aligned with underlying Islamic contracts.
99,"""All marketing brochures for the home product must be approved by the Shariah board before being distributed to the public.""",1,IFSA,Islamic Financial Services Act 2013,Section 33,2013,37,"Pre-vetting marketing materials prevents the use of deceptive advertising language, ensuring total clarity for prospective home clients."
100,"""The Takaful certificate will not cover any loss to the house if the damage occurs while the property is completely abandoned for over ninety consecutive days.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.2,2013,14,Setting an explicit abandonment exclusion clause is compliant because it prevents excessive negligence and manages the risk profile of the pool.
101,"""The bank shall purchase the residential property from the developer or vendor before selling it to the customer under Murabahah.""",1,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),2/2/1,2015,215,The clause is compliant because actual ownership and constructive possession of the house by the bank must precede its resale to the customer.
102,"""The bank can sell the house to the customer under a Murabahah contract before the bank registers the property title under its own name.""",0,AAOIFI,Shariah Standard No. 8 (Murabahah to the Purchase Orderer),2/2/3,2015,216,"Non-Compliant Baseline: Selling an asset before acquiring legal or constructive possession constitutes selling what one does not own, which is strictly prohibited."
103,"""In a Diminishing Musharakah housing finance, the bank and the customer shall enter into a partnership to co-own the property.""",1,AAOIFI,Shariah Standard No. 12 (Sharika and Modern Corporations),3/1/1,2015,312,The joint ownership framework is compliant because it establishes a valid partnership (Shirkah al-Milk) over the financed residential asset.
104,"""The customer shall gradually purchase the bank's share of the house over the financing tenure through a series of separate sale contracts.""",1,AAOIFI,Shariah Standard No. 12 (Sharika and Modern Corporations),3/1/5,2015,314,"The gradual transfer of property shares is compliant as long as each share purchase is executed via an independent, distinct transaction."
105,"""The bank is permitted to lease its share of the co-owned house to the customer in exchange for a mutually agreed rental payment.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),2/1,2015,240,Charging rent on the bank's portion of the property is compliant because the customer is actively utilizing the bank's share of the asset.
106,"""The bank shall bear all structural maintenance costs of the leased house, while ordinary operational maintenance is borne by the tenant.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),4/1,2015,245,Allocating major structural liability to the owner (the bank) is compliant because asset ownership risks cannot be legally transferred to a tenant.
107,"""The bank can automatically pass all structural repair costs of the house to the tenant by inserting a hidden indemnification clause.""",0,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),4/3,2015,246,Non-Compliant Baseline: Forcing the tenant to pay for major structural defects violates the core legal principles of the Ijarah contract.
108,"""If the financed house is completely destroyed by an act of God, the Ijarah contract terminates and the customer stops paying rent immediately.""",1,AAOIFI,Shariah Standard No. 9 (Ijarah and Ijarah Muntahia Bittamleek),7/1,2015,251,Halting rent upon asset destruction is compliant because rental payments are contingent upon the usability of the underlying property.
